"RatingID";"CustomerID";"ProductID";"Rating"
1;3510;3653;0
2;1733;388;3
3;442;730;5
4;3144;1521;0
5;4526;1304;1
6;4092;195;5
7;3251;4478;1
8;3291;1380;2
9;1672;935;0
10;31;2069;1
11;4574;2292;0
12;2594;3524;2
13;1207;2751;1
14;1575;2949;0
15;4434;1588;2
16;4186;2867;0
17;3517;50;1
18;1655;4930;1
19;2066;1433;2
20;4407;3906;4
21;526;484;2
22;3358;4253;5
23;3880;4588;1
24;3803;2533;5
25;4490;1501;1
26;1857;3808;5
27;4916;3204;1
28;4504;4995;2
29;4045;3055;1
30;4064;1275;5
31;4577;4876;0
32;3354;2481;4
33;278;3123;5
34;4565;3400;3
35;4110;148;5
36;595;350;1
37;3394;2620;5
38;2105;1074;3
39;4388;1974;2
40;4269;4881;2
41;775;1787;0
42;1556;2733;4
43;1180;2210;1
44;4686;4846;3
45;2660;3838;0
46;3656;4635;4
47;1909;4890;2
48;4392;4802;0
49;1128;3633;0
50;2269;1205;3
51;2370;1979;4
52;3069;2056;1
53;1427;1907;4
54;4108;4822;3
55;1797;1826;2
56;502;2754;4
57;4721;2895;3
58;300;4003;5
59;3068;1254;2
60;4764;4320;4
61;3826;1995;5
62;979;1790;2
63;2577;3334;4
64;2620;1;3
65;472;3800;0
66;4602;3740;0
67;4877;4015;5
68;2364;60;2
69;2937;3861;2
70;291;1962;0
71;3797;4387;3
72;3982;2127;4
73;1169;3439;5
74;2681;4618;5
75;3286;339;3
76;4369;2276;4
77;4726;2627;4
78;3740;3091;2
79;676;146;2
80;4896;4239;4
81;644;3152;5
82;2988;4874;3
83;2286;3693;0
84;3022;3250;4
85;2137;1579;4
86;201;3940;1
87;289;1218;0
88;1700;4307;0
89;119;4525;1
90;1878;1154;1
91;3242;3263;5
92;2116;3965;3
93;835;4367;1
94;1646;84;5
95;4694;2570;5
96;1945;1240;0
97;1287;4484;0
98;1973;4770;3
99;2329;798;5
100;903;1455;5
101;4139;1174;5
102;1195;3780;3
103;3203;1247;0
104;67;3336;1
105;1791;747;1
106;4897;1089;1
107;2058;4634;5
108;2435;2641;0
109;2603;739;3
110;3602;4489;0
111;415;4237;1
112;4911;1474;2
113;1661;3688;5
114;368;1307;4
115;2395;1983;3
116;523;884;4
117;934;2326;5
118;1100;166;4
119;473;158;1
120;1580;4884;1
121;1088;3240;4
122;1051;792;0
123;3630;637;0
124;1344;2779;4
125;804;3823;3
126;4712;1177;1
127;1510;276;1
128;535;1513;0
129;4051;2287;3
130;3206;4999;4
131;477;833;2
132;1428;4857;1
133;944;3321;3
134;4324;2277;2
135;3701;781;3
136;1202;2760;4
137;2154;2676;2
138;2265;994;5
139;3515;272;4
140;715;3473;3
141;1221;1538;3
142;2103;3237;0
143;2182;851;1
144;15;2847;4
145;1621;3254;5
146;3441;1730;2
147;1233;1301;3
148;2576;222;4
149;91;4175;1
150;2313;4242;2
151;2826;1984;3
152;2332;4877;5
153;282;1445;0
154;1762;410;3
155;2650;3814;3
156;3747;3238;0
157;2418;946;4
158;2877;246;1
159;3360;3193;4
160;2648;2613;2
161;3715;2990;0
162;1865;4770;2
163;1239;4641;2
164;4744;3853;1
165;244;2759;4
166;3348;3796;2
167;1539;4995;4
168;4335;4833;3
169;3736;4384;4
170;612;700;1
171;2295;4294;3
172;4686;4788;5
173;2385;2495;4
174;2447;551;2
175;528;1409;5
176;1157;3775;4
177;3522;61;5
178;2042;209;3
179;2121;224;5
180;4772;3563;4
181;4821;1447;0
182;577;4735;4
183;2308;2408;0
184;2267;4130;0
185;3836;4861;2
186;3296;3266;0
187;227;3875;4
188;1219;588;3
189;284;4894;0
190;4806;1916;4
191;2607;167;2
192;1013;2264;0
193;576;702;4
194;2757;3532;0
195;3952;3103;5
196;3869;1466;0
197;2025;3371;5
198;1379;3738;2
199;1188;4805;2
200;668;3822;0
201;2404;2642;4
202;2333;3330;4
203;1269;4520;3
204;3417;3496;0
205;1799;3941;4
206;2482;793;0
207;672;1245;4
208;3629;315;3
209;2854;3111;4
210;4778;961;2
211;3970;4712;1
212;944;608;2
213;4128;1172;0
214;4358;2228;2
215;335;4866;0
216;4469;2781;3
217;854;3160;4
218;2395;4403;2
219;3075;4924;4
220;895;1788;0
221;3955;3824;2
222;3459;4588;3
223;278;4263;3
224;3250;2852;1
225;3334;4784;0
226;2479;513;1
227;1637;1620;5
228;3117;2126;2
229;324;635;5
230;4073;4092;1
231;1058;1803;4
232;254;2284;2
233;2134;1537;3
234;2593;4976;3
235;958;837;5
236;4004;2122;0
237;4079;1117;1
238;1089;3918;0
239;3552;616;5
240;1719;3158;5
241;3923;1122;0
242;4029;3456;3
243;1520;702;3
244;3206;2685;2
245;985;3546;4
246;4603;3926;2
247;3002;2076;5
248;2443;4285;5
249;3989;3810;3
250;1147;1432;3
251;3341;898;2
252;1179;4744;4
253;1284;3560;3
254;4809;4654;5
255;1215;3037;2
256;401;3245;2
257;3966;3207;1
258;502;79;2
259;3320;381;5
260;1648;4101;3
261;2898;419;4
262;3689;4644;0
263;2231;3255;5
264;1284;365;0
265;1302;4018;0
266;3580;3551;5
267;1579;3542;4
268;2503;4062;1
269;4287;4536;5
270;4639;2270;4
271;466;1166;4
272;4159;725;3
273;3297;2046;5
274;448;3716;3
275;315;425;0
276;3906;813;0
277;1880;3016;5
278;4692;4679;1
279;1496;2740;0
280;4085;1033;0
281;722;3306;2
282;512;1363;1
283;501;269;2
284;2559;1176;4
285;1650;538;4
286;291;3123;4
287;1367;3172;4
288;4282;1478;3
289;662;1014;0
290;1675;968;0
291;3921;2287;2
292;1412;550;4
293;2894;2175;0
294;387;1434;1
295;1237;2294;0
296;2767;2083;3
297;4124;4968;3
298;3966;921;0
299;3972;4193;4
300;4271;3357;4
301;4599;1471;4
302;4940;4826;2
303;9;152;1
304;4566;3827;5
305;3709;2130;5
306;328;155;5
307;972;821;3
308;1373;4126;1
309;2549;884;4
310;2376;3812;4
311;1002;1309;2
312;4435;311;4
313;1776;905;4
314;1850;1448;0
315;510;1376;3
316;2906;3227;2
317;3300;919;1
318;3995;1734;1
319;4258;2774;3
320;2444;400;0
321;6;3612;3
322;2778;1809;2
323;2874;3505;1
324;4475;3238;4
325;4091;2496;2
326;2430;3344;3
327;570;2391;3
328;284;389;1
329;4210;3256;3
330;2576;281;2
331;1474;4845;2
332;1841;1395;5
333;3172;3862;4
334;3577;1413;3
335;2295;3544;3
336;1404;2430;0
337;652;4779;3
338;3627;4159;5
339;1148;4187;5
340;4719;3415;1
341;3056;2485;4
342;1512;4309;1
343;457;3189;3
344;2830;1302;5
345;1784;1033;3
346;4332;4260;0
347;1910;1997;5
348;2638;4720;0
349;2336;3899;4
350;2449;4046;2
351;3327;1264;2
352;3747;4544;4
353;3764;2284;0
354;50;2789;5
355;972;2976;4
356;1153;2500;2
357;3130;3109;4
358;474;4548;3
359;1721;75;4
360;3081;1010;5
361;4474;3472;4
362;1569;2058;5
363;915;4804;2
364;502;4687;4
365;3885;2500;1
366;1856;1461;1
367;248;1773;2
368;113;142;4
369;3702;1781;0
370;1597;697;0
371;2507;863;0
372;4404;1403;2
373;2441;4632;3
374;1044;834;2
375;847;1505;1
376;311;4521;4
377;4728;1485;2
378;4161;4634;3
379;4079;3222;1
380;2478;4866;5
381;3412;1789;1
382;1055;1091;1
