dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp
24/02/2020;24;2;2020;0;0;Austria;AT;AUT;8858775;Europe
24/02/2020;24;2;2020;0;0;Belgium;BE;BEL;11455519;Europe
24/02/2020;24;2;2020;0;0;Finland;FI;FIN;5517919;Europe
24/02/2020;24;2;2020;0;0;France;FR;FRA;67012883;Europe
24/02/2020;24;2;2020;0;0;Germany;DE;DEU;83019213;Europe
24/02/2020;24;2;2020;0;0;Greece;EL;GRC;10724599;Europe
24/02/2020;24;2;2020;53;0;Italy;IT;ITA;60359546;Europe
24/02/2020;24;2;2020;0;0;Netherlands;NL;NLD;17282163;Europe
24/02/2020;24;2;2020;0;0;Norway;NO;NOR;5328212;Europe
24/02/2020;24;2;2020;0;0;Spain;ES;ESP;46937060;Europe
24/02/2020;24;2;2020;0;0;Sweden;SE;SWE;10230185;Europe
24/02/2020;24;2;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe
25/02/2020;25;2;2020;0;0;Austria;AT;AUT;8858775;Europe
25/02/2020;25;2;2020;0;0;Belgium;BE;BEL;11455519;Europe
25/02/2020;25;2;2020;0;0;Finland;FI;FIN;5517919;Europe
25/02/2020;25;2;2020;0;0;France;FR;FRA;67012883;Europe
25/02/2020;25;2;2020;0;0;Germany;DE;DEU;83019213;Europe
25/02/2020;25;2;2020;0;0;Greece;EL;GRC;10724599;Europe
25/02/2020;25;2;2020;97;4;Italy;IT;ITA;60359546;Europe
25/02/2020;25;2;2020;0;0;Netherlands;NL;NLD;17282163;Europe
25/02/2020;25;2;2020;0;0;Norway;NO;NOR;5328212;Europe
25/02/2020;25;2;2020;1;0;Spain;ES;ESP;46937060;Europe
25/02/2020;25;2;2020;0;0;Sweden;SE;SWE;10230185;Europe
25/02/2020;25;2;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe
26/02/2020;26;2;2020;2;0;Austria;AT;AUT;8858775;Europe
26/02/2020;26;2;2020;0;0;Belgium;BE;BEL;11455519;Europe
26/02/2020;26;2;2020;0;0;Finland;FI;FIN;5517919;Europe
26/02/2020;26;2;2020;2;0;France;FR;FRA;67012883;Europe
26/02/2020;26;2;2020;2;0;Germany;DE;DEU;83019213;Europe
26/02/2020;26;2;2020;0;0;Greece;EL;GRC;10724599;Europe
26/02/2020;26;2;2020;93;5;Italy;IT;ITA;60359546;Europe
26/02/2020;26;2;2020;0;0;Netherlands;NL;NLD;17282163;Europe
26/02/2020;26;2;2020;0;0;Norway;NO;NOR;5328212;Europe
26/02/2020;26;2;2020;6;0;Spain;ES;ESP;46937060;Europe
26/02/2020;26;2;2020;0;0;Sweden;SE;SWE;10230185;Europe
26/02/2020;26;2;2020;2;0;United_Kingdom;UK;GBR;66647112;Europe
27/02/2020;27;2;2020;0;0;Austria;AT;AUT;8858775;Europe
27/02/2020;27;2;2020;0;0;Belgium;BE;BEL;11455519;Europe
27/02/2020;27;2;2020;1;0;Finland;FI;FIN;5517919;Europe
27/02/2020;27;2;2020;3;1;France;FR;FRA;67012883;Europe
27/02/2020;27;2;2020;4;0;Germany;DE;DEU;83019213;Europe
27/02/2020;27;2;2020;1;0;Greece;EL;GRC;10724599;Europe
27/02/2020;27;2;2020;78;1;Italy;IT;ITA;60359546;Europe
27/02/2020;27;2;2020;0;0;Netherlands;NL;NLD;17282163;Europe
27/02/2020;27;2;2020;1;0;Norway;NO;NOR;5328212;Europe
27/02/2020;27;2;2020;8;0;Spain;ES;ESP;46937060;Europe
27/02/2020;27;2;2020;1;0;Sweden;SE;SWE;10230185;Europe
27/02/2020;27;2;2020;5;0;United_Kingdom;UK;GBR;66647112;Europe
